ARO Term,ARO Accession,Reference Model Type,Reference DB,Alleles with Mapped Reads,Reference Allele(s) Identity to CARD Reference Protein (%),Resistomes & Variants: Observed in Genome(s),Resistomes & Variants: Observed in Plasmid(s),Resistomes & Variants: Observed Pathogen(s),Completely Mapped Reads,Mapped Reads with Flanking Sequence,All Mapped Reads,Average Percent Coverage,Average Length Coverage (bp),Average MAPQ (Completely Mapped Reads),Number of Mapped Baits,Number of Mapped Baits with Reads,Average Number of reads per Bait,Number of reads per Bait Coefficient of Variation (%),Number of reads mapping to baits and mapping to complete gene,Number of reads mapping to baits and mapping to complete gene (%),Mate Pair Linkage (# reads),Reference Length,AMR Gene Family,Drug Class,Resistance Mechanism
CfxA2,3003002,protein homolog model,CARD,1,100.0,no data,no data,Prevotella intermedia,2.0,0.0,2.0,10.66,103.0,0.0,0,0,0,0,,,,966,CfxA beta-lactamase,cephalosporin,antibiotic inactivation
lnuA,3002835,protein homolog model,CARD,1,100.0,no data,no data,Staphylococcus haemolyticus,12.0,2.0,14.0,99.38,483.0,32.64,0,0,0,0,,,,486,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
lsaE,3003206,protein homolog model,CARD,1,100.0,no data,no data,Enterococcus faecalis,57.0,1.0,58.0,99.53,1478.0,41.14,0,0,0,0,,,lnuB (1),1485,lsa-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic,antibiotic target protection
APH(3')-Ia,3002641,protein homolog model,CARD,1,100.0,no data,no data,Serratia marcescens,2.0,0.0,2.0,36.76,300.0,44.0,0,0,0,0,,,,816,APH(3'),aminoglycoside antibiotic,antibiotic inactivation
ErmQ,3000593,protein homolog model,CARD,1,100.0,no data,no data,Clostridium perfringens,6.0,2.0,8.0,71.58,554.0,29.25,0,0,0,0,,,,774,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
lnuC,3002837,protein homolog model,CARD,1,100.0,no data,no data,Streptococcus agalactiae,12.0,6.0,18.0,100.0,495.0,26.61,0,0,0,0,,,,495,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
dfrD,3002866,protein homolog model,CARD,1,100.0,no data,no data,Listeria monocytogenes,1.0,1.0,2.0,30.67,150.0,19.5,0,0,0,0,,,,489,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
tet(W),3000194,protein homolog model,CARD,1,100.0,no data,no data,Butyrivibrio fibrisolvens,25.0,5.0,30.0,67.66,1299.0,5.1,0,0,0,0,,,,1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tetA(P),3000180,protein homolog model,CARD,1,100.0,no data,no data,Clostridium perfringens,19.0,1.0,20.0,89.23,1127.0,37.9,0,0,0,0,,,,1263,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
ErmF,3000498,protein homolog model,CARD,1,100.0,no data,no data,Bacteroides fragilis,14.0,0.0,14.0,99.13,794.0,39.14,0,0,0,0,,,,801,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
aadA,3002601,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,2.0,0.0,2.0,35.61,282.0,1.0,0,0,0,0,,,,792,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
tet(31),3000476,protein homolog model,CARD,1,100.0,no data,no data,Aeromonas salmonicida,8.0,0.0,8.0,61.15,754.0,42.0,0,0,0,0,,,,1233,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
OXA-347,3001777,protein homolog model,CARD,1,100.0,no data,no data,uncultured bacterium,2.0,0.0,2.0,23.39,193.0,42.0,0,0,0,0,,,,825,OXA beta-lactamase,penicillin beta-lactam,antibiotic inactivation
tetB(P),3000195,protein homolog model,CARD,1,100.0,no data,no data,Clostridium perfringens,6.0,2.0,8.0,32.06,628.0,27.5,0,0,0,0,,,,1959,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
lnuB,3002836,protein homolog model,CARD,1,100.0,no data,no data,Enterococcus faecium,47.0,3.0,50.0,100.0,804.0,37.68,0,0,0,0,,,lsaE (1),804,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
CfxA5,3003096,protein homolog model,CARD,1,100.0,no data,no data,Parabacteroides distasonis,2.0,0.0,2.0,27.74,268.0,0.0,0,0,0,0,,,,966,CfxA beta-lactamase,cephalosporin,antibiotic inactivation
mdtB,3000793,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,1.0,1.0,2.0,2.24,70.0,4.5,0,0,0,0,,,,3123,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux
ErmC,3000250,protein homolog model,CARD,1,100.0,no data,no data,Staphylococcus epidermidis,30.0,4.0,34.0,97.01,713.0,26.18,0,0,0,0,,,,735,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
